,RSI
541,53.11
542,48.81
543,49.13
544,48.07
545,55.75
546,61.78
547,81.13
548,74.73
549,54.93
550,50.21
551,50.76
552,48.3
553,43.74
554,33.61
555,14.71
556,17.14
557,15.99
558,16.74
559,8.26
560,9.46
561,11.5
562,11.33
563,40.93
564,38.04
565,30.31
566,35.1
567,49.05
568,55.86
569,60.41
570,47.36
571,52.63
572,45.07
573,38.79
574,34.16
575,25.31
576,20.63
577,23.08
578,14.92
579,36.09
580,35.07
581,36.11
582,36.58
583,46.32
584,48.75
585,57.01
586,56.72
587,66.67
588,60.86
589,61.97
590,56.74
591,69.61
592,56.56
593,73.37
594,49.08
595,39.43
596,47.05
597,46.64
598,59.94
599,62.33
600,58.78
601,73.01
602,66.95
603,78.22
604,85.24
605,82.57
606,66.07
607,58.97
608,58.63
609,49.77
610,40.89
611,49.05
612,52.16
613,43.34
614,44.11
615,61.38
616,54.55
617,52.97
618,86.92
619,96.81
620,89.27
621,92.86
622,86.67
623,38.95
624,26.71
625,23.22
626,36.5
627,32.86
628,20.24
629,24.83
630,29.89
631,26.27
632,41.04
633,62.19
634,66.27
635,58.58
636,66.72
637,80.59
638,79.52
639,71.62
640,89.14
641,88.55
642,73.06
643,69.59
644,64.72
645,53.23
646,48.99
647,58.36
648,58.2
649,45.88
650,50.0
651,59.36
652,44.19
653,43.3
654,45.33
655,48.12
656,38.11
657,50.97
658,46.15
659,47.42
660,34.57
661,44.73
662,49.89
663,53.57
664,44.69
665,41.51
666,24.59
667,33.73
668,19.71
669,42.38
670,31.39
671,43.07
672,36.79
673,37.01
674,53.3
675,68.67
676,63.29
677,75.33
678,71.61
679,71.77
680,55.66
681,61.58
682,70.17
683,51.94
684,40.23
685,35.09
686,28.79
687,28.79
688,37.2
689,43.68
690,44.9
691,38.35
692,50.79
693,56.43
694,54.83
695,37.88
696,35.71
697,30.19
698,24.84
699,25.47
700,11.4
701,4.17
702,21.99
703,40.28
704,44.56
705,62.23
706,47.35
707,48.6
708,57.78
709,62.05
710,60.56
711,46.81
712,52.01
713,56.42
714,48.84
715,66.89
716,75.25
717,65.6
718,69.13
719,71.4
720,95.61
721,94.74
722,95.45
723,95.38
724,92.06
725,85.29
726,88.39
727,88.48
728,91.98
729,94.44
730,93.79
731,93.03
732,82.3
733,80.45
734,66.93
735,71.03
736,62.89
737,51.41
738,48.92
739,32.89
740,26.59
741,31.89
742,32.47
743,50.67
744,46.67
745,47.92
746,59.94
747,51.68
748,56.92
749,69.64
750,72.62
751,74.16
752,49.18
753,40.76
754,41.16
755,23.82
756,49.32
757,57.24
758,55.68
759,57.14
760,61.16
761,76.96
762,77.88
763,70.43
764,80.54
765,57.78
766,45.07
767,44.58
768,17.43
769,15.32
770,16.39
771,15.14
772,31.63
773,45.55
774,48.54
775,47.25
776,56.39
777,64.76
778,56.66
779,57.14
780,51.44
781,53.0
782,46.05
783,50.75
784,55.05
785,55.38
786,73.14
787,85.81
788,83.82
789,85.75
790,83.64
791,74.81
792,72.05
793,74.79
794,43.38
795,47.88
796,36.27
797,33.33
798,32.94
799,26.62
800,35.05
801,31.58
802,47.88
803,63.22
804,63.84
805,71.39
806,80.33
807,92.52
808,91.35
809,83.23
810,91.3
811,82.71
812,80.82
813,72.14
814,50.0
815,50.0
816,29.92
817,29.55
818,33.24
819,33.05
820,40.96
821,40.06
822,33.72
823,48.29
824,33.24
825,46.15
826,47.58
827,41.01
828,54.3
829,53.15
830,60.19
831,73.91
832,71.7
833,73.11
834,74.06
835,76.24
836,85.65
837,59.87
838,67.65
839,57.32
840,60.34
841,71.61
842,81.52
843,81.94
844,80.82
845,60.69
846,53.29
847,49.57
848,50.62
849,32.99
850,17.84
851,20.25
852,12.06
853,9.56
854,20.52
855,36.24
856,39.08
857,30.48
858,48.87
859,57.4
