,RSI
541,55.71
542,57.48
543,51.64
544,64.74
545,54.99
546,50.78
547,49.84
548,39.19
549,35.15
550,44.34
551,34.26
552,47.26
553,31.5
554,33.23
555,28.9
556,46.19
557,49.36
558,67.79
559,67.2
560,73.9
561,72.77
562,92.06
563,78.6
564,79.21
565,69.18
566,68.46
567,50.75
568,36.95
569,39.67
570,50.76
571,42.43
572,60.2
573,53.58
574,58.1
575,49.49
576,55.85
577,67.07
578,70.82
579,64.35
580,54.01
581,58.42
582,60.53
583,67.12
584,78.92
585,70.99
586,65.39
587,64.4
588,62.33
589,74.75
590,68.63
591,73.15
592,64.14
593,64.44
594,67.25
595,70.0
596,68.12
597,73.06
598,71.31
599,69.65
600,66.23
601,65.38
602,41.46
603,42.65
604,51.18
605,48.76
606,38.0
607,41.87
608,57.31
609,54.81
610,54.13
611,88.63
612,94.95
613,95.07
614,95.49
615,95.7
616,91.12
617,72.73
618,75.65
619,81.79
620,78.76
621,65.25
622,71.92
623,66.67
624,63.35
625,54.6
626,65.94
627,46.73
628,39.89
629,33.06
630,46.32
631,24.96
632,24.7
633,32.53
634,48.56
635,38.46
636,63.11
637,65.03
638,67.37
639,53.12
640,64.55
641,66.76
642,62.08
643,51.32
644,48.9
645,41.37
646,30.84
647,41.01
648,49.08
649,37.22
650,46.13
651,45.54
652,46.13
653,54.37
654,48.94
655,51.34
656,43.23
657,29.41
658,38.49
659,31.22
660,36.67
661,43.35
662,52.71
663,46.64
664,56.85
665,58.23
666,89.45
667,89.18
668,78.49
669,78.24
670,61.54
671,54.55
672,64.24
673,61.43
674,64.24
675,62.5
676,62.5
677,77.38
678,78.41
679,100.0
680,85.19
681,87.23
682,76.53
683,60.52
684,58.18
685,55.77
686,41.76
687,52.25
688,49.12
689,63.6
690,58.33
691,47.93
692,59.97
693,43.68
694,37.87
695,37.98
696,33.8
697,30.66
698,38.21
699,39.86
700,54.04
701,54.42
702,69.74
703,77.09
704,81.88
705,79.59
706,95.91
707,93.66
708,85.21
709,83.2
710,55.63
711,59.64
712,60.37
713,42.08
714,38.12
715,34.9
716,31.69
717,50.22
718,47.2
719,62.15
720,55.63
721,63.19
722,86.55
723,93.1
724,93.85
725,74.84
726,52.5
727,49.14
728,61.18
729,61.18
730,43.79
731,40.44
732,31.22
733,35.04
734,34.45
735,41.6
736,52.6
737,47.1
738,49.07
